                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5417,                 1.7553,                 1.1502,                0.00121,                0.06667,                0.00066,                 0.0002,                    nan,                    nan,                    nan,             0.00054065,             0.00054065,             0.00054065
                      2,                  1.507,                 1.4233,                 1.1097,                0.00056,                0.03333,                0.00031,                  9e-05,                    nan,                    nan,                    nan,              0.0010909,              0.0010909,              0.0010909
                      3,                 1.4766,                 1.4355,                 1.1237,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0016356,              0.0016356,              0.0016356
                      4,                 1.5216,                 1.3548,                 1.1597,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0016422,              0.0016422,              0.0016422
                      5,                 1.4945,                 1.3233,                 1.1117,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0016422,              0.0016422,              0.0016422
                      6,                 1.4715,                 1.1917,                 1.1072,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,               0.001634,               0.001634,               0.001634
                      7,                 1.5076,                 1.3148,                 1.1215,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0016257,              0.0016257,              0.0016257
                      8,                 1.4983,                 1.3288,                 1.1226,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0016175,              0.0016175,              0.0016175
                      9,                 1.4839,                 1.2347,                 1.1403,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0016092,              0.0016092,              0.0016092
                     10,                 1.4241,                 1.1056,                 1.0768,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,               0.001601,               0.001601,               0.001601
                     11,                 1.3629,                  1.008,                 1.0707,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0015927,              0.0015927,              0.0015927
                     12,                 1.3347,                 1.0233,                 1.0697,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0015845,              0.0015845,              0.0015845
                     13,                 1.3491,                0.96058,                 1.0696,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0015762,              0.0015762,              0.0015762
                     14,                 1.3335,                0.94688,                  1.076,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,               0.001568,               0.001568,               0.001568
                     15,                 1.3099,                 0.9453,                 1.0485,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0015597,              0.0015597,              0.0015597
                     16,                 1.3151,                0.92094,                 1.0693,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0015515,              0.0015515,              0.0015515
                     17,                 1.3507,                0.92556,                 1.0742,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0015432,              0.0015432,              0.0015432
                     18,                  1.305,                0.90013,                  1.054,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,               0.001535,               0.001535,               0.001535
                     19,                 1.3118,                0.92422,                 1.0468,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0015267,              0.0015267,              0.0015267
                     20,                 1.3237,                0.87721,                 1.0676,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0015185,              0.0015185,              0.0015185
                     21,                 1.2795,                0.84181,                 1.0363,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0015102,              0.0015102,              0.0015102
                     22,                 1.2904,                0.86544,                 1.0514,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,               0.001502,               0.001502,               0.001502
                     23,                 1.3189,                 0.8978,                  1.057,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0014937,              0.0014937,              0.0014937
